loan_id,amount_loan,duration,payments,status,gender_clt,frequency,region,ratio of urban inhabitants,average salary,ratio enterpreneurs,criminality_growth,unemploymant_growth,age_at_loan,months_acc_at_loan,type_trans_count_c,type_trans_mean_c,amount_trans_mean,amount_trans_min,amount_trans_max,amount_trans_std,amount_trans_last,amount_trans_cov,amount_trans_abs_min,amount_trans_rangev,balance_mean,balance_min,balance_max,balance_std,balance_last,balance_cov,balance_abs_min,balance_rangev,balance_negative,months_until_bankrupt,ops_per_month
4959,80952,24,3373,Yes,M,monthly,Prague,1.0,12541,0.167,0.01114566294286997,0.14,48,11,22,0.4074074074074074,515.5685185185185,-22400.0,30354.0,11895.998464916345,138.3,141514779.47729212,13.5,52754.0,32590.62407407406,1100.0,67529.6,12061.705681876094,27855.2,145484743.95620197,1100.0,66429.6,0,8,4.909090909090909
4961,30276,12,2523,No,F,monthly,south Bohemia,0.67,9104,0.123,0.000532187678403824,0.5599999999999998,57,12,46,0.575,198.18000000000006,-18200.0,22708.0,9205.689080326661,15139.0,84744711.44364557,14.6,40908.0,25197.09249999999,715.0,58157.5,15039.248404932323,15854.0,226178992.5852595,715.0,57442.5,0,6,6.666666666666667
4973,165960,24,6915,Yes,F,monthly,south Bohemia,0.569,8427,0.107,0.00041519839030777913,0.41999999999999993,51,19,37,0.296,189.51520000000042,-41400.0,62235.0,20882.029392885444,114.1,436059151.5653315,14.6,103635.0,52523.24480000004,700.0,107069.6,20955.646998372446,23703.8,439139141.12039614,700.0,106369.6,0,3,6.578947368421052
4996,88440,12,7370,Yes,F,after-transaction,north Bohemia,0.853,9317,0.097,-0.0006010084453394527,0.5800000000000001,51,6,16,0.5161290322580645,2545.4129032258065,-35100.0,47976.0,21020.897593232345,282.6,441878135.6251613,100.0,83076.0,62778.09032258065,200.0,103239.0,21638.258869671175,79007.6,468214246.9109033,200.0,103039.0,0,10,5.166666666666667
5002,104808,12,8734,Yes,M,monthly,south Moravia,0.483,8512,0.102,-0.0011443829868395957,0.6100000000000003,54,6,12,0.4,933.8466666666665,-16400.0,25970.0,10052.730130005115,-3900.0,101057383.06671265,14.6,42370.0,38709.829999999994,500.0,57865.3,11517.175248212317,28015.4,132645325.6980345,500.0,57365.3,0,3,5.0
5032,123696,48,2577,Yes,M,monthly,south Moravia,0.46,8772,0.126,0.002439709481963003,0.29000000000000004,54,11,22,0.36065573770491804,412.90491803278724,-32100.0,48476.0,15349.418522400405,-14.6,235604648.97580874,14.6,80576.0,49084.381967213114,300.0,89822.2,20572.457529737083,25187.2,423226008.81283605,300.0,89522.2,0,9,5.545454545454546
5044,100980,60,1683,Yes,M,monthly,south Moravia,1.0,9897,0.14,-6.450447661067678e-05,0.3599999999999999,29,12,27,0.38571428571428573,673.3971428571427,-22900.0,20922.0,8168.072604859274,-4739.0,66717410.078252584,14.6,43822.0,35614.74428571429,600.0,53376.7,9576.327716908689,48637.7,91706052.54163355,600.0,52776.7,0,28,5.833333333333333
5045,187224,24,7801,No,M,monthly,Prague,1.0,12541,0.167,0.01114566294286997,0.14,47,17,38,0.4318181818181818,577.6386363636365,-51900.0,46293.0,17258.630286253032,-14.6,297860319.3575705,0.2,98193.0,42084.311363636334,-243.3,92571.3,22038.48158908669,50832.1,485694670.7525131,200.0,92814.6,1,6,5.176470588235294
5060,252060,60,4201,No,F,monthly,south Moravia,0.519,8441,0.115,0.0033712028777238504,1.0300000000000002,28,8,26,0.4262295081967213,1149.122950819672,-41700.0,49937.0,16589.841841132715,-13990.0,275222852.31379783,8.2,91637.0,57340.50819672131,900.0,106259.6,21418.913855883657,70096.5,458769870.765765,900.0,105359.6,0,16,7.625
5082,262980,60,4383,Yes,F,monthly,central Bohemia,0.413,8598,0.123,0.005155690732738636,0.48999999999999977,30,12,24,0.42857142857142855,1358.5964285714285,-22300.0,44022.0,13169.319978136018,43444.0,173430988.68653244,14.6,66322.0,41729.616071428565,900.0,78574.3,16330.173222315432,76081.3,266674557.47082797,900.0,77674.3,0,17,4.666666666666667
5088,91152,24,3798,Yes,M,monthly,north Bohemia,0.81,9272,0.118,0.0015705610234346742,0.4200000000000004,53,15,31,0.4025974025974026,511.4116883116883,-26700.0,34184.0,14032.198318519318,-3800.0,196902589.6502563,14.6,60884.0,44829.54415584412,400.0,72327.7,13400.064096640634,39378.8,179561717.79407722,400.0,71927.7,0,10,5.133333333333334
5125,73056,48,1522,Yes,M,monthly,north Bohemia,0.899,10446,0.09,-0.0017014888027023646,2.0600000000000005,24,9,23,0.45098039215686275,422.4647058823531,-7100.0,8538.0,3462.2725634371154,5692.0,11987331.30352941,14.6,15638.0,23255.149019607838,500.0,33555.4,6550.595429955129,21545.7,42910300.48694902,500.0,33055.4,0,14,5.666666666666667
5126,208128,48,4336,No,M,monthly,south Moravia,1.0,9897,0.14,-6.450447661067678e-05,0.3599999999999999,42,14,29,0.453125,1273.0406249999999,-36500.0,47493.0,15857.719330202128,38929.0,251467262.35546622,14.6,83993.0,36369.97499999999,-1069.7,96064.0,22812.186440376034,81474.6,520395850.1904762,300.0,97133.7,1,18,4.571428571428571
5128,215616,48,4492,No,M,monthly,north Moravia,0.484,8173,0.124,-0.03675766563134911,4.185,39,10,30,0.4918032786885246,141.6508196721314,-18700.0,23130.0,8348.462244442044,-3400.0,69696821.84687431,6.8,41830.0,21447.624590163923,-3424.6,50124.8,13056.987306542755,8640.6,170484917.5232186,200.0,53549.4,1,1,6.1
5130,24312,12,2026,Yes,F,monthly,south Bohemia,0.569,8427,0.107,0.00041519839030777913,0.41999999999999993,38,15,37,0.47435897435897434,364.894871794872,-24322.0,18231.0,7820.337301472649,-6600.0,61157675.50880454,14.6,42553.0,29380.83974358974,1100.0,48277.9,7695.862800862465,28461.9,59226304.24969865,1100.0,47177.9,0,14,5.2
5131,48624,24,2026,Yes,M,monthly,north Bohemia,0.853,9317,0.097,-0.0006010084453394527,0.5800000000000001,33,17,49,0.4188034188034188,410.20341880341886,-52900.0,41561.0,18414.312454830513,-4514.0,339086903.18412614,14.6,94461.0,63857.2367521368,200.0,134187.4,25825.858181660515,47993.6,666974950.819241,200.0,133987.4,0,23,6.882352941176471
5132,538500,60,8975,Yes,M,monthly,central Bohemia,0.514,9307,0.118,0.004434404283801874,0.5799999999999996,34,11,22,0.3793103448275862,401.224137931035,-23800.0,32082.0,12446.443589887402,-4605.0,154913958.03624925,14.6,55882.0,33687.85862068966,200.0,69775.9,13408.02036465337,23271.0,179775010.09895948,200.0,69575.9,0,2,5.2727272727272725
