# Generated by Cross Validation Log[com.rapidminer.datatable.SimpleDataTable]
# Iteration	Execution Time	criterion	max_depth	confidence	minimal_gain	apply_pruning	apply_prepruning	AUC
7.0	2805.0	gain_ratio	10.0	0.001	0.01	false	false	0.7401676245210729
6.0	2850.0	gain_ratio	10.0	0.09069999999999999	0.01	true	true	0.6918869731800765
4.0	2877.0	gain_ratio	10.0	0.001	0.01	false	true	0.6447601943076082
2.0	2977.0	gain_ratio	10.0	0.1505	0.01	true	true	0.6775946451377486
3.0	2986.0	gain_ratio	10.0	0.001	0.01	true	false	0.7370155993431855
1.0	3013.0	gain_ratio	10.0	0.001	0.01	true	true	0.648883529465426
5.0	3030.0	gain_ratio	10.0	0.0608	0.01	true	true	0.6735221674876848
10.0	2733.0	gain_ratio	10.0	0.0309	0.01	false	true	0.7174136790731618
8.0	2840.0	gain_ratio	10.0	0.0309	0.01	false	false	0.6775013683634373
11.0	2821.0	gain_ratio	10.0	0.18039999999999998	0.01	true	true	0.6385899014778325
13.0	2798.0	gain_ratio	10.0	0.0309	0.01	true	true	0.6783668582375479
9.0	2964.0	gain_ratio	10.0	0.1206	0.01	true	true	0.7006080094873198
12.0	2901.0	gain_ratio	10.0	0.0309	0.01	true	false	0.7199625980660463
14.0	2876.0	gain_ratio	10.0	0.1505	0.01	false	false	0.7334984491881043
16.0	2595.0	gain_ratio	10.0	0.0608	0.01	false	false	0.7040871875570153
17.0	2499.0	gain_ratio	10.0	0.2103	0.01	true	true	0.7260091680350301
19.0	2503.0	gain_ratio	10.0	0.09069999999999999	0.01	false	false	0.7075854086845468
15.0	2836.0	gain_ratio	10.0	0.0608	0.01	false	true	0.6831882868089765
18.0	2687.0	gain_ratio	10.0	0.2402	0.01	false	false	0.7394925652253239
20.0	2619.0	gain_ratio	10.0	0.0608	0.01	true	false	0.6683132640029192
21.0	2707.0	gain_ratio	10.0	0.18039999999999998	0.01	false	false	0.7229813218390806
22.0	2662.0	gain_ratio	10.0	0.2701	0.01	false	false	0.6958701651158548
25.0	2537.0	gain_ratio	10.0	0.09069999999999999	0.01	false	true	0.7030140485312899
23.0	2693.0	gain_ratio	10.0	0.2402	0.01	true	true	0.6734763273125343
24.0	2795.0	gain_ratio	10.0	0.1206	0.01	false	false	0.7156199826673966
26.0	2655.0	gain_ratio	10.0	0.1505	0.01	false	true	0.7302439107827039
27.0	2714.0	gain_ratio	10.0	0.09069999999999999	0.01	true	false	0.6666420361247948
28.0	2636.0	gain_ratio	10.0	0.2103	0.01	false	false	0.712551085568327
29.0	980.0	gain_ratio	10.0	0.3	0.01	false	false	0.6897083105272761
30.0	1559.0	gain_ratio	10.0	0.1206	0.01	false	true	0.7207405126801679
33.0	2072.0	gain_ratio	10.0	0.1206	0.01	true	false	0.7460943486590038
31.0	2629.0	gain_ratio	10.0	0.2701	0.01	true	true	0.6212802180259076
32.0	2764.0	gain_ratio	10.0	0.18039999999999998	0.01	false	true	0.7483282019704433
34.0	2706.0	gain_ratio	10.0	0.1505	0.01	true	false	0.6758968482028826
38.0	1375.0	gain_ratio	10.0	0.2103	0.01	false	true	0.7428602216748768
35.0	2729.0	gain_ratio	10.0	0.2402	0.01	false	true	0.7327784619594965
36.0	2427.0	gain_ratio	10.0	0.3	0.01	true	true	0.673962096332786
37.0	1940.0	gain_ratio	10.0	0.2701	0.01	false	true	0.7229739098704616
39.0	1720.0	gain_ratio	10.0	0.3	0.01	false	true	0.7287790777230433
40.0	1690.0	gain_ratio	10.0	0.18039999999999998	0.01	true	false	0.74190578817734
41.0	1945.0	gain_ratio	10.0	0.2402	0.01	true	false	0.775808360700602
43.0	1695.0	gain_ratio	10.0	0.2103	0.01	true	false	0.7107644590403212
42.0	1901.0	gain_ratio	10.0	0.2701	0.01	true	false	0.6910437192118226
44.0	1288.0	gain_ratio	10.0	0.3	0.01	true	false	0.6893735176062762
