# Generated by Cross Validation Log[com.rapidminer.datatable.SimpleDataTable]
# Iteration	Execution Time	n_trees	max_depth	criterion	pruning	confidence	pre prunning	min gain	min leaf size	AUC
1.0	3025.0	10.0	10.0	information_gain	true	0.1	true	0.01	1.0	0.8038495544416598
5.0	3103.0	10.0	22.0	information_gain	true	0.1	true	0.01	2.0	0.8072417153996103
6.0	4273.0	34.0	26.0	information_gain	true	0.1	true	0.01	2.0	0.8296783625730996
13.0	1592.0	10.0	22.0	gini_index	true	0.1	true	0.01	2.0	0.8209116541353385
11.0	4789.0	58.0	18.0	accuracy	true	0.1	true	0.01	1.0	0.8121170983013091
12.0	1795.0	10.0	10.0	gini_index	true	0.1	true	0.01	1.0	0.8208152325257589
10.0	4836.0	58.0	30.0	accuracy	true	0.1	true	0.01	2.0	0.8036995265942635
15.0	1450.0	10.0	22.0	accuracy	true	0.1	true	0.01	2.0	0.7820788081314397
17.0	1481.0	10.0	10.0	accuracy	true	0.1	true	0.01	1.0	0.77947925368978
14.0	2435.0	34.0	26.0	gini_index	true	0.1	true	0.01	2.0	0.8410937064884434
9.0	6942.0	130.0	14.0	gini_index	true	0.1	true	0.01	4.0	0.842435254803676
3.0	7051.0	130.0	26.0	gini_index	true	0.1	true	0.01	1.0	0.8518198273461431
7.0	7176.0	154.0	18.0	accuracy	true	0.1	true	0.01	4.0	0.812056530214425
8.0	7254.0	106.0	22.0	information_gain	true	0.1	true	0.01	1.0	0.8390531885268727
19.0	2277.0	34.0	22.0	information_gain	true	0.1	true	0.01	2.0	0.8250020885547201
20.0	2496.0	34.0	10.0	information_gain	true	0.1	true	0.01	1.0	0.8209168755221388
21.0	2167.0	34.0	26.0	accuracy	true	0.1	true	0.01	2.0	0.8037621832358675
16.0	4148.0	82.0	18.0	information_gain	true	0.1	true	0.01	1.0	0.8407873851294905
18.0	4242.0	82.0	30.0	information_gain	true	0.1	true	0.01	2.0	0.8415810359231412
