# Generated by SVM Log[com.rapidminer.datatable.SimpleDataTable]
# Iteration	Execution Time	kernel_type	C	degree	AUC
4.0	1.638959332656E12	radial	3.9810717055349727	0.001	0.7526893622946256
7.0	1.638959334545E12	radial	251.1886431509581	0.0039810717055349725	0.749030910609858
11.0	1.638959338225E12	radial	251.1886431509581	0.25118864315095807	0.6862336396546924
8.0	1.638959347504E12	dot	1.0	0.0039810717055349725	0.7904754942912838
2.0	1.63895934831E12	dot	1.0	0.06309573444801932	0.7296198830409357
15.0	1.638959349399E12	radial	1.0	0.0039810717055349725	0.7521435533277641
16.0	1.638959349461E12	radial	1.0	0.06309573444801932	0.7918476747424118
3.0	1.638959354611E12	dot	1.0	0.25118864315095807	0.6917105263157894
1.0	1.638959356767E12	dot	1.0	0.001	0.7123670286828181
19.0	1.638959357172E12	radial	1.0	0.25118864315095807	0.7694646338067391
20.0	1.638959357923E12	radial	1.0	0.001	0.7488102199944305
12.0	1.638959360518E12	polynomial	3.9810717055349727	0.001	0.7027081592871067
17.0	1.638959364035E12	polynomial	1.0	0.0039810717055349725	0.7025536062378169
6.0	1.638959373398E12	dot	15.848931924611136	0.001	0.7366624895572265
21.0	1.638959373447E12	polynomial	1.0	0.25118864315095807	0.7395314675577834
22.0	1.638959374411E12	polynomial	1.0	0.001	0.7296888053467001
25.0	1.638959374636E12	radial	15.848931924611136	0.001	0.7694994430520745
18.0	1.638959381502E12	polynomial	1.0	0.06309573444801932	0.7530673906989697
24.0	1.638959398205E12	dot	3.9810717055349727	0.0039810717055349725	0.7269346978557504
30.0	1.638959401561E12	radial	3.9810717055349727	0.0039810717055349725	0.7315135059871901
27.0	1.638959409088E12	dot	3.9810717055349727	0.001	0.7052986633249791
23.0	1.638959409543E12	dot	15.848931924611136	0.001	0.7307017543859651
26.0	1.638959411604E12	dot	3.9810717055349727	0.25118864315095807	0.7074526594263437
32.0	1.638959412189E12	radial	3.9810717055349727	0.001	0.7564703425229741
33.0	1.638959412306E12	radial	15.848931924611136	0.001	0.7738130047340575
34.0	1.638959413214E12	radial	3.9810717055349727	0.25118864315095807	0.7226113895850739
9.0	1.638959417565E12	dot	63.095734448019314	0.06309573444801932	0.7903856864383182
5.0	1.63895942022E12	dot	63.095734448019314	0.001	0.7259057365636313
38.0	1.638959420464E12	radial	63.095734448019314	0.06309573444801932	0.7320833333333334
29.0	1.638959420626E12	dot	3.9810717055349727	0.06309573444801932	0.7095739348370929
39.0	1.638959421858E12	radial	63.095734448019314	0.001	0.6983430799220274
41.0	1.638959421972E12	radial	3.9810717055349727	0.06309573444801932	0.7290274296853244
28.0	1.638959425048E12	polynomial	15.848931924611136	0.001	0.752671261487051
31.0	1.638959443894E12	polynomial	3.9810717055349727	0.0039810717055349725	0.7475222779170149
37.0	1.638959453064E12	polynomial	3.9810717055349727	0.25118864315095807	0.6803313840155946
35.0	1.638959454336E12	polynomial	3.9810717055349727	0.001	0.7067140072403231
10.0	1.638959456561E12	dot	1000.0	0.0039810717055349725	0.5855854915065442
13.0	1.63895946019E12	polynomial	251.1886431509581	0.0039810717055349725	0.6680047340573657
