# Generated by Cross Validation Log[com.rapidminer.datatable.SimpleDataTable]
# Iteration	Execution Time	rounds	booster	sample_type	normalize_type	learning_type	max_depth	feature_selector	top_k	updater	AUC
7.0	9437.0	51.0	tree booster	uniform	tree	0.04000000000000001	6.0	cyclic	15.0	coord_descent	true
10.0	10038.0	80.0	tree booster	uniform	tree	0.04000000000000001	6.0	shuffle	15.0	shotgun	true
9.0	11767.0	11.0	linear booster	uniform	tree	0.010000000000000002	6.0	thrifty	15.0	coord_descent	true
8.0	11768.0	41.0	linear booster	uniform	tree	0.48999999999999994	6.0	cyclic	15.0	coord_descent	true
5.0	12835.0	80.0	linear booster	uniform	tree	0.010000000000000002	6.0	shuffle	15.0	shotgun	true
4.0	13876.0	70.0	DART	uniform	tree	0.36	6.0	shuffle	15.0	shotgun	true
16.0	12662.0	11.0	tree booster	uniform	tree	0.6400000000000001	6.0	thrifty	15.0	coord_descent	true
2.0	18323.0	100.0	tree booster	uniform	tree	0.25	6.0	cyclic	15.0	shotgun	true
22.0	11200.0	60.0	tree booster	uniform	tree	0.04000000000000001	6.0	cyclic	15.0	coord_descent	true
23.0	12491.0	90.0	tree booster	uniform	tree	0.04000000000000001	6.0	shuffle	15.0	shotgun	true
25.0	10764.0	51.0	linear booster	uniform	tree	0.48999999999999994	6.0	cyclic	15.0	coord_descent	true
29.0	11568.0	90.0	linear booster	uniform	tree	0.010000000000000002	6.0	shuffle	15.0	shotgun	true
24.0	14362.0	21.0	linear booster	uniform	tree	0.010000000000000002	6.0	thrifty	15.0	coord_descent	true
30.0	13006.0	80.0	DART	uniform	tree	0.36	6.0	shuffle	15.0	shotgun	true
34.0	9430.0	21.0	tree booster	uniform	tree	0.6400000000000001	6.0	thrifty	15.0	coord_descent	true
39.0	8664.0	70.0	tree booster	uniform	tree	0.04000000000000001	6.0	cyclic	15.0	coord_descent	true
42.0	8620.0	60.0	linear booster	uniform	tree	0.48999999999999994	6.0	cyclic	15.0	coord_descent	true
35.0	14228.0	1.0	linear booster	uniform	tree	0.25	6.0	cyclic	15.0	shotgun	true
46.0	8444.0	100.0	linear booster	uniform	tree	0.010000000000000002	6.0	shuffle	15.0	shotgun	true
41.0	10319.0	100.0	tree booster	uniform	tree	0.04000000000000001	6.0	shuffle	15.0	shotgun	true
52.0	6990.0	31.0	tree booster	uniform	tree	0.6400000000000001	6.0	thrifty	15.0	coord_descent	true
51.0	7281.0	90.0	DART	uniform	tree	0.36	6.0	shuffle	15.0	shotgun	true
49.0	11876.0	31.0	linear booster	uniform	tree	0.010000000000000002	6.0	thrifty	15.0	coord_descent	true
60.0	6858.0	70.0	linear booster	uniform	tree	0.48999999999999994	6.0	cyclic	15.0	coord_descent	true
63.0	6948.0	11.0	linear booster	uniform	tree	0.25	6.0	cyclic	15.0	shotgun	true
66.0	7691.0	1.0	linear booster	uniform	tree	0.04000000000000001	6.0	shuffle	15.0	shotgun	true
65.0	7696.0	1.0	DART	uniform	tree	0.010000000000000002	6.0	shuffle	15.0	shotgun	true
56.0	12623.0	80.0	tree booster	uniform	tree	0.04000000000000001	6.0	cyclic	15.0	coord_descent	true
71.0	8022.0	100.0	DART	uniform	tree	0.36	6.0	shuffle	15.0	shotgun	true
70.0	8505.0	41.0	tree booster	uniform	tree	0.6400000000000001	6.0	thrifty	15.0	coord_descent	true
76.0	5611.0	41.0	linear booster	uniform	tree	0.010000000000000002	6.0	thrifty	15.0	coord_descent	true
77.0	5941.0	80.0	linear booster	uniform	tree	0.48999999999999994	6.0	cyclic	15.0	coord_descent	true
85.0	3989.0	11.0	DART	uniform	tree	0.010000000000000002	6.0	shuffle	15.0	shotgun	true
84.0	3992.0	11.0	linear booster	uniform	tree	0.04000000000000001	6.0	shuffle	15.0	shotgun	true
87.0	3032.0	90.0	tree booster	uniform	tree	0.04000000000000001	6.0	cyclic	15.0	coord_descent	true
93.0	3017.0	51.0	tree booster	uniform	tree	0.6400000000000001	6.0	thrifty	15.0	coord_descent	true
79.0	6445.0	21.0	linear booster	uniform	tree	0.25	6.0	cyclic	15.0	shotgun	true
95.0	3016.0	1.0	linear booster	uniform	tree	0.0	6.0	cyclic	15.0	coord_descent	true
99.0	3349.0	51.0	linear booster	uniform	tree	0.010000000000000002	6.0	thrifty	15.0	coord_descent	true
100.0	3055.0	90.0	linear booster	uniform	tree	0.48999999999999994	6.0	cyclic	15.0	coord_descent	true
103.0	2994.0	21.0	linear booster	uniform	tree	0.04000000000000001	6.0	shuffle	15.0	shotgun	true
102.0	3002.0	21.0	DART	uniform	tree	0.010000000000000002	6.0	shuffle	15.0	shotgun	true
88.0	5684.0	1.0	tree booster	uniform	tree	0.36	6.0	thrifty	15.0	shotgun	true
106.0	3253.0	100.0	tree booster	uniform	tree	0.04000000000000001	6.0	cyclic	15.0	coord_descent	true
