loan_id,amount_loan,duration,payments,status,gender_clt,age_at_loan,frequency,age_acc,region,ratio of urban inhabitants,average salary,ratio enterpreneurs,criminality_growth,unemploymant_growth,type_trans_count_w,type_trans_count_c,type_trans_mean_w,amount_trans_mean,amount_trans_min,amount_trans_max,amount_trans_std,amount_trans_last,amount_trans_abs_min,balance_mean,balance_min,balance_max,balance_std,balance_last,balance_abs_min,balance_negative,months_until_bankrupt
4959,80952,24,3373,Yes,M,48,monthly,28,Prague,1.0,12541,0.167,0.01114566294286997,0.14,32,22,0.5925925925925926,515.5685185185185,-22400.0,30354.0,11895.998464916345,138.3,13.5,32590.62407407406,1100.0,67529.6,12061.705681876094,27855.2,1100.0,0,8
4961,30276,12,2523,No,F,57,monthly,26,south Bohemia,0.67,9104,0.123,0.000532187678403824,0.5599999999999998,34,46,0.425,198.18000000000006,-18200.0,22708.0,9205.689080326661,15139.0,14.6,25197.09249999999,715.0,58157.5,15039.248404932323,15854.0,715.0,0,6
4973,165960,24,6915,Yes,F,51,monthly,27,south Bohemia,0.569,8427,0.107,0.00041519839030777913,0.41999999999999993,88,37,0.704,189.51520000000042,-41400.0,62235.0,20882.029392885444,114.1,14.6,52523.24480000004,700.0,107069.6,20955.646998372446,23703.8,700.0,0,3
4996,88440,12,7370,Yes,F,51,after-transaction,25,north Bohemia,0.853,9317,0.097,-0.0006010084453394527,0.5800000000000001,15,16,0.4838709677419355,2545.4129032258065,-35100.0,47976.0,21020.897593232345,282.6,100.0,62778.09032258065,200.0,103239.0,21638.258869671175,79007.6,200.0,0,10
5002,104808,12,8734,Yes,M,54,monthly,28,south Moravia,0.483,8512,0.102,-0.0011443829868395957,0.6100000000000003,18,12,0.6,933.8466666666665,-16400.0,25970.0,10052.730130005115,-3900.0,14.6,38709.829999999994,500.0,57865.3,11517.175248212317,28015.4,500.0,0,3
5032,123696,48,2577,Yes,M,54,monthly,28,south Moravia,0.46,8772,0.126,0.002439709481963003,0.29000000000000004,39,22,0.639344262295082,412.90491803278724,-32100.0,48476.0,15349.418522400405,-14.6,14.6,49084.381967213114,300.0,89822.2,20572.457529737083,25187.2,300.0,0,9
5044,100980,60,1683,Yes,M,29,monthly,28,south Moravia,1.0,9897,0.14,-6.450447661067678e-05,0.3599999999999999,43,27,0.6142857142857143,673.3971428571427,-22900.0,20922.0,8168.072604859274,-4739.0,14.6,35614.74428571429,600.0,53376.7,9576.327716908689,48637.7,600.0,0,28
5045,187224,24,7801,No,M,47,monthly,27,Prague,1.0,12541,0.167,0.01114566294286997,0.14,50,38,0.5681818181818182,577.6386363636365,-51900.0,46293.0,17258.630286253032,-14.6,0.2,42084.311363636334,-243.3,92571.3,22038.48158908669,50832.1,200.0,1,6
5060,252060,60,4201,No,F,28,monthly,28,south Moravia,0.519,8441,0.115,0.0033712028777238504,1.0300000000000002,35,26,0.5737704918032787,1149.122950819672,-41700.0,49937.0,16589.841841132715,-13990.0,8.2,57340.50819672131,900.0,106259.6,21418.913855883657,70096.5,900.0,0,16
5082,262980,60,4383,Yes,F,30,monthly,26,central Bohemia,0.413,8598,0.123,0.005155690732738636,0.48999999999999977,32,24,0.5714285714285714,1358.5964285714285,-22300.0,44022.0,13169.319978136018,43444.0,14.6,41729.616071428565,900.0,78574.3,16330.173222315432,76081.3,900.0,0,17
